Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
714 Non-electric engines & motors,2018-09,18388.692000000003,,122537.173,626.188,1.3,-1.3,0.4,1.9
716 Rotating electric plant & parts,2018-09,24273.458000000006,1508.388,141952.342,57159.543,1.3,-1.3,0.4,1.9
718 Power generating machinery & parts,2018-09,14689.998999999998,674.127,50877.97700000002,10074.294,1.3,-1.3,0.4,1.9
721 Agric machinery (excl tractors) & parts,2018-09,12489.084999999997,832.441,143245.428,13771.26,1.3,-1.3,0.4,1.9
722 Tractors,2018-09,1141.831,,66110.217,1033.811,1.3,-1.3,0.4,1.9
723 Civil engineering equipment & parts,2018-09,59267.40899999999,776.48,381798.7610000001,50446.338,1.3,-1.3,0.4,1.9
724 Textile & leather machinery & parts,2018-09,3208.4320000000002,27.575,15148.292000000003,2238.613,1.3,-1.3,0.4,1.9
725 Paper & pulp mill machinery & parts,2018-09,318.884,,15667.572000000002,500.681,1.3,-1.3,0.4,1.9
726 Printing machinery & parts,2018-09,1775.3969999999995,238.669,11349.821000000002,486.121,1.3,-1.3,0.4,1.9
727 Food processing machines & parts,2018-09,9713.48,152.917,32720.32,6656.283,1.3,-1.3,0.4,1.9
728 Specialised machinery & parts,2018-09,61951.87600000002,3950.403,192281.57100000003,50071.708,1.3,-1.3,0.4,1.9
731 Machine tools for removing metal,2018-09,6149.461000000001,423.673,18605.377,5270.647,1.3,-1.3,0.4,1.9
733 Machine tools for working metal,2018-09,1927.0669999999998,,9387.616999999997,2952.35,1.3,-1.3,0.4,1.9
735 Machine tools parts,2018-09,7101.756999999999,1667.607,9538.963999999998,1164.012,1.3,-1.3,0.4,1.9
737 Metalworking machinery & parts,2018-09,3563.7850000000003,75.382,15765.587000000005,5350.118,1.3,-1.3,0.4,1.9
741 Heating & cooling equipment & parts,2018-09,27698.672000000006,616.484,274547.62200000003,77342.87,1.3,-1.3,0.4,1.9
742 Pumps for liquids & parts,2018-09,30593.533000000003,692.005,101444.52499999995,18072.537,1.3,-1.3,0.4,1.9
743 Pumps (excl liquid pumps) & parts,2018-09,27019.481,630.497,205971.22799999997,58397.49,1.3,-1.3,0.4,1.9
744 Mechanical handling equip & parts,2018-09,30805.394000000004,594.837,245508.35599999994,91345.94,1.3,-1.3,0.4,1.9
745 Non-electrical machinery & parts,2018-09,16691.127000000004,415.449,118777.93000000001,30964.294,1.3,-1.3,0.4,1.9
746 Ball or roller bearings,2018-09,3132.675,117.105,30694.559999999998,4483.948,1.3,-1.3,0.4,1.9
"747 Taps, cocks & valves",2018-09,21511.85,1368.005,136245.50300000006,42181.222,1.3,-1.3,0.4,1.9
748 Transmission shafts & parts,2018-09,19039.961999999996,800.811,90492.14299999998,12402.26,1.3,-1.3,0.4,1.9
749 Non-electric parts for machinery,2018-09,6733.468999999999,29.717,23531.308,4075.9,1.3,-1.3,0.4,1.9
751 Office machines,2018-09,12295.351999999999,988.569,136077.11999999997,55304.46,1.3,-1.3,0.4,1.9
752 Computers,2018-09,59605.587,5224.848,758355.2789999999,523724.915,1.3,-1.3,0.4,1.9
759 Computer parts & accessories,2018-09,23284.368000000006,2026.247,47953.302,28841.156,1.3,-1.3,0.4,1.9
"761 Monitors, projectors & TVs",2018-09,4845.278000000001,819.786,226842.33800000002,113976.096,1.3,-1.3,0.4,1.9
762 Radio broadcast receivers,2018-09,1136.414,23.653,13657.324,5685.919,1.3,-1.3,0.4,1.9
763 Sound & video recorders,2018-09,2752.153,15,16237.467000000002,9933.103,1.3,-1.3,0.4,1.9
764 Telecom equipment & parts,2018-09,186338.00499999995,9411.927,1377513.536,898294.858,1.3,-1.3,0.4,1.9
771 Electric power machinery & parts,2018-09,17304.194999999996,538.942,126915.44999999997,58549.714,1.3,-1.3,0.4,1.9
772 Electrical circuits equipment,2018-09,43777.49500000002,1794.071,191819.593,56642.979,1.3,-1.3,0.4,1.9
773 Electrical distributing equipment,2018-09,15835.435999999996,1321.083,141960.58299999998,90115.714,1.3,-1.3,0.4,1.9
774 Medical electrodiagnostic apparatus,2018-09,12537.488999999996,225.257,73853.67500000002,7715.423,1.3,-1.3,0.4,1.9
"775 Household-type equipment, nes",2018-09,14349.093999999996,553.719,280174.0400000001,104830.82,1.3,-1.3,0.4,1.9
776 Electronic integrated circuits,2018-09,14581.857,1950.265,191482.798,113683.32,1.3,-1.3,0.4,1.9
"778 Electrical machinery & parts, nes",2018-09,51954.977,3310.238,307540.01099999994,127154.321,1.3,-1.3,0.4,1.9
781 Passenger motor vehicles,2018-09,35020.978,626.838,1748009.824,23950.712,1.3,-1.3,0.4,1.9
782 Goods vehicles,2018-09,23728.448999999997,379.256,831780.6870000003,12098.746,1.3,-1.3,0.4,1.9
"783 Road motor vehicles, nes",2018-09,13031.61,,49312.475999999995,7192.788,1.3,-1.3,0.4,1.9
784 Vehicle parts & accessories,2018-09,70435.54599999999,1064.617,237742.57699999993,38250.108,1.3,-1.3,0.4,1.9
785 Motorcycles & cycles,2018-09,11692.810000000001,379.837,103353.91599999998,23801.101,1.3,-1.3,0.4,1.9
"786 Trailers, semi-trailers & containers",2018-09,6966.448,365.326,76150.61500000002,49315.496,1.3,-1.3,0.4,1.9
791 Railway vehicles (incl hovertrains),2018-09,6414.874999999999,359.964,164022.81799999997,80173.913,1.3,-1.3,0.4,1.9
"792 Aircraft, spacecraft & parts",2018-09,230615.783,378.66,179967.516,2267.832,1.3,-1.3,0.4,1.9
"793 Ships, boats & floating structures",2018-09,22226.409999999996,,51551.465,4588.196,1.3,-1.3,0.4,1.9
811 Prefabricated buildings,2018-09,2281.9359999999997,307.341,14269.306999999997,10071.443,1.3,-1.3,0.4,1.9
"812 Sanitary, plumbing & heating fittings",2018-09,691.917,,23444.570000000003,15146.634,1.3,-1.3,0.4,1.9
813 Lighting fixtures & fittings,2018-09,11154.237000000003,299.154,139363.421,113450.048,1.3,-1.3,0.4,1.9
"821 Furniture, mattresses & cushions",2018-09,11718.771999999999,2257.136,436573.27600000007,299935.721,1.3,-1.3,0.4,1.9
"831 Travel goods, bags & like containers",2018-09,7140.351000000001,625.683,167929.35000000003,97536.224,1.3,-1.3,0.4,1.9
841 Men's clothing (excl knitted),2018-09,2659.907,34.748,136761.80800000005,83477.967,1.3,-1.3,0.4,1.9
842 Women's clothing (excl knitted),2018-09,6905.147999999999,62.883,200915.59800000003,143610.353,1.3,-1.3,0.4,1.9
"843 Men's clothing, knitted",2018-09,1117.8609999999999,115.766,47875.369,32072.678,1.3,-1.3,0.4,1.9
"844 Women's clothing, knitted",2018-09,1705.777,52.537,79685.27799999998,53603.617,1.3,-1.3,0.4,1.9
845 Other textile clothing,2018-09,7670.548999999998,353.682,252506.01400000014,161964.45,1.3,-1.3,0.4,1.9
846 Textile clothing accessories,2018-09,3383.259000000001,80.116,33690.34,22803.521,1.3,-1.3,0.4,1.9
