Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
772 Electrical circuits equipment,2019-03,57357.97000000001,4346.9,201462.90700000006,44635.344,1.2,0.4,0.5,1.3
773 Electrical distributing equipment,2019-03,17624.837000000007,408.849,134665.12699999995,77059.639,1.2,0.4,0.5,1.3
774 Medical electrodiagnostic apparatus,2019-03,13959.052000000001,313.676,75565.902,4984.714,1.2,0.4,0.5,1.3
"775 Household-type equipment, nes",2019-03,14623.618999999997,829.554,309009.78900000005,109645.407,1.2,0.4,0.5,1.3
776 Electronic integrated circuits,2019-03,19343.533999999996,1592.57,230356.07600000006,135380.195,1.2,0.4,0.5,1.3
"778 Electrical machinery & parts, nes",2019-03,54466.85799999998,3812.46,297378.181,93172.854,1.2,0.4,0.5,1.3
781 Passenger motor vehicles,2019-03,24562.701,822.711,1827635.5539999998,21950.277,1.2,0.4,0.5,1.3
782 Goods vehicles,2019-03,26904.296000000002,759.921,921338.658,11660.316,1.2,0.4,0.5,1.3
"783 Road motor vehicles, nes",2019-03,6868.771000000001,,58672.23,1776.19,1.2,0.4,0.5,1.3
784 Vehicle parts & accessories,2019-03,82060.96700000002,2110.75,253740.726,27163.428,1.2,0.4,0.5,1.3
785 Motorcycles & cycles,2019-03,7108.048,111.802,79315.798,12678.573,1.2,0.4,0.5,1.3
"786 Trailers, semi-trailers & containers",2019-03,8872.143,540.281,62334.541,28805.96,1.2,0.4,0.5,1.3
791 Railway vehicles (incl hovertrains),2019-03,4914.379999999999,128.215,99320.94500000002,45982.854,1.2,0.4,0.5,1.3
"792 Aircraft, spacecraft & parts",2019-03,284606.93000000005,495.289,135528.82200000001,3073.315,1.2,0.4,0.5,1.3
"793 Ships, boats & floating structures",2019-03,30013.974,2181.78,91199.84699999997,2037.013,1.2,0.4,0.5,1.3
811 Prefabricated buildings,2019-03,2688.889,168.353,5445.986,1922.947,1.2,0.4,0.5,1.3
"812 Sanitary, plumbing & heating fittings",2019-03,662.0740000000001,32.671,15583.524999999998,6173.17,1.2,0.4,0.5,1.3
813 Lighting fixtures & fittings,2019-03,8869.115000000002,620.242,70830.47700000001,44595.206,1.2,0.4,0.5,1.3
"821 Furniture, mattresses & cushions",2019-03,15492.489999999998,1342.81,278012.512,160661.553,1.2,0.4,0.5,1.3
"831 Travel goods, bags & like containers",2019-03,7846.728000000003,129.232,116666.35899999997,44157.634,1.2,0.4,0.5,1.3
841 Men's clothing (excl knitted),2019-03,3236.2959999999994,7.842,107120.65600000006,51515.014,1.2,0.4,0.5,1.3
842 Women's clothing (excl knitted),2019-03,8556.502,188.447,157455.77700000003,94760.632,1.2,0.4,0.5,1.3
"843 Men's clothing, knitted",2019-03,1553.5459999999998,108.626,45198.10200000002,23704.735,1.2,0.4,0.5,1.3
"844 Women's clothing, knitted",2019-03,1617.1780000000003,40.665,90016.17000000001,56189.74,1.2,0.4,0.5,1.3
845 Other textile clothing,2019-03,10748.129,379.094,254609.1640000001,141322.848,1.2,0.4,0.5,1.3
846 Textile clothing accessories,2019-03,2352.232,,39071.98399999999,23967.287,1.2,0.4,0.5,1.3
"848 Clothing accessories, nes",2019-03,6789.292999999998,375.572,47846.38899999998,20207.33,1.2,0.4,0.5,1.3
851 Footwear,2019-03,11289.347999999998,2116.97,170794.53,77956.217,1.2,0.4,0.5,1.3
871 Optical instruments,2019-03,5890.295999999999,331.289,35378.694,2144.697,1.2,0.4,0.5,1.3
872 Medical instruments (incl veterinary),2019-03,150502.38399999996,17004.62,277383.8689999999,22704.568,1.2,0.4,0.5,1.3
873 Meters & counters,2019-03,1713.6570000000002,52.218,20253.09,3465.772,1.2,0.4,0.5,1.3
874 Measuring & analysing instruments,2019-03,179624.51700000002,8219.71,311323.0570000001,24364.832,1.2,0.4,0.5,1.3
881 Photographic equipment,2019-03,3403.213,,6053.231,1204.051,1.2,0.4,0.5,1.3
882 Photo & cinematographic supplies,2019-03,1421.157,,10475.438999999998,1779.681,1.2,0.4,0.5,1.3
"883 Cinematographic film, developed",2019-03,,,216.689,,1.2,0.4,0.5,1.3
"884 Optical goods, nes",2019-03,23226.541000000005,284.157,87771.729,27370.647,1.2,0.4,0.5,1.3
885 Watches & clocks,2019-03,10993.497,32.005,58161.96000000001,7595.788,1.2,0.4,0.5,1.3
891 Arms & ammunition,2019-03,4259.195,,56130.985,209.162,1.2,0.4,0.5,1.3
892 Printed matter,2019-03,29973.236999999994,80.793,71100.495,15232.697,1.2,0.4,0.5,1.3
"893 Plastic articles, nes",2019-03,32743.818000000003,4685.8,241265.10199999996,116972.136,1.2,0.4,0.5,1.3
"894 Prams, toys, games & sporting goods",2019-03,44989.17600000001,389.634,174883.6270000001,105506.532,1.2,0.4,0.5,1.3
"895 Office & stationery supplies, nes",2019-03,1682.587,27.352,14959.940999999995,5306.186,1.2,0.4,0.5,1.3
896 Artwork & antiques,2019-03,7165.390000000001,255.609,24862.922000000002,5083.289,1.2,0.4,0.5,1.3
897 Jewellery,2019-03,46231.181,111.321,165825.05799999996,15301.633,1.2,0.4,0.5,1.3
898 Musical instruments & parts,2019-03,13165.689999999999,1249.52,65384.704999999994,19721.093,1.2,0.4,0.5,1.3
"899 Misc manufactured articles, nes",2019-03,39572.338,4535.52,216149.603,28801.218,1.2,0.4,0.5,1.3
931 Special transactions & commodities,2019-03,117952.10299999997,1172.96,263.56100000000004,,1.2,0.4,0.5,1.3
951 Gold coin & legal tender coin,2019-03,41249.557,601.4,1592.0760000000002,13.533,1.2,0.4,0.5,1.3
961 Coin (excl gold coin) not legal tender,2019-03,73.84299999999999,,458.48699999999997,38.264,1.2,0.4,0.5,1.3
971 Gold,2019-03,1351863.754,411343.87,449853.6539999999,,1.2,0.4,0.5,1.3
988 Confidential items of trade,2019-03,374962.6489999996,1762879.24,347370.69500000007,49086.04,1.2,0.4,0.5,1.3
Grand Total,2019-03,31221802.200999986,11161927.156999992,24024539.812,5014338.230999999,1.2,0.4,0.5,1.3
001 Live animals (excl seafood),2019-06,167498.608,23634.81,10048.866,,1.8,-0.4,0.7,1.6
"011 Beef, f.c.f.",2019-06,929911.5229999998,210418.32,754.524,,1.8,-0.4,0.7,1.6
"012 Meat (excl beef), f.c.f.",2019-06,431134.00399999984,88298.81,65619.056,,1.8,-0.4,0.7,1.6
"016 Meat, salted or dried",2019-06,124.64099999999999,,2889.004,,1.8,-0.4,0.7,1.6
"017 Meat, prepared or preserved",2019-06,9562.737000000001,154.792,13910.562999999998,355.312,1.8,-0.4,0.7,1.6
"022 Milk, cream, whey & yoghurt",2019-06,126592.65100000006,52317.53,40007.09499999999,264.25,1.8,-0.4,0.7,1.6
023 Butter,2019-06,9636.066,1387.56,16199.529999999999,,1.8,-0.4,0.7,1.6
024 Cheese & curd,2019-06,84878.55799999999,7325.5,48116.18,,1.8,-0.4,0.7,1.6
025 Birds' eggs,2019-06,581.783,,1074.88,198.709,1.8,-0.4,0.7,1.6
"034 Fish, f.c.f.",2019-06,24361.788000000008,2182.01,37463.03,3001.91,1.8,-0.4,0.7,1.6
"035 Fish, salted or dried",2019-06,463.358,,5995.838000000001,79.13,1.8,-0.4,0.7,1.6
"036 Crustaceans, f.c.f.",2019-06,63257.405999999995,43159.79,45180.48999999999,18463.634,1.8,-0.4,0.7,1.6
"037 Seafood, prepared or preserved",2019-06,8589.657,,62634.87100000001,9331.947,1.8,-0.4,0.7,1.6
041 Wheat,2019-06,222979.83,5503.91,42412.590000000004,,1.8,-0.4,0.7,1.6
042 Rice,2019-06,12664.06,,22743.887,248.634,1.8,-0.4,0.7,1.6
043 Barley,2019-06,39248.331000000006,19038.86,2.2960000000000003,,1.8,-0.4,0.7,1.6
044 Maize,2019-06,827.9970000000001,27.379,416.52299999999997,1.092,1.8,-0.4,0.7,1.6
045 Other cereals,2019-06,9845.262,7150.6,1646.257,126.746,1.8,-0.4,0.7,1.6
046 Wheat flour,2019-06,1852.9510000000002,240.099,2035.287,19.229,1.8,-0.4,0.7,1.6
047 Other cereal flours,2019-06,709.9519999999999,21.794,2061.701,41.377,1.8,-0.4,0.7,1.6
048 Cereal preparations,2019-06,77382.33199999998,5180.41,97824.513,6712.933,1.8,-0.4,0.7,1.6
"054 Vegetables, f.c.f.",2019-06,115449.164,762.206,28836.977999999992,4984.033,1.8,-0.4,0.7,1.6
"056 Vegetables, prepared or preserved",2019-06,6716.932,124.77,60704.495,6778.194,1.8,-0.4,0.7,1.6
057 Fruit & nuts,2019-06,275043.1240000002,126663.87,53190.66499999999,3520.608,1.8,-0.4,0.7,1.6
"058 Fruit, prepared or preserved",2019-06,4632.685,531.318,47302.581000000006,6193.804,1.8,-0.4,0.7,1.6
059 Fruit juices,2019-06,6306.120999999999,1072.07,10600.937999999998,2227.895,1.8,-0.4,0.7,1.6
"061 Sugars, molasses & honey",2019-06,20456.235999999994,1595.98,12222.699,2052.323,1.8,-0.4,0.7,1.6
062 Sugar confectionery,2019-06,5368.982999999999,648.965,21136.832000000006,6187.413,1.8,-0.4,0.7,1.6
071 Coffee & substitutes,2019-06,5452.910000000001,210.328,69570.84,138.231,1.8,-0.4,0.7,1.6
072 Cocoa,2019-06,89.71900000000002,66.049,29057.62,30.491,1.8,-0.4,0.7,1.6
073 Chocolate & preparations of cocoa,2019-06,23774.476,106.72,40451.528,2210.472,1.8,-0.4,0.7,1.6
074 Tea & mate,2019-06,1273.8000000000002,35.229,10868.097999999998,516.574,1.8,-0.4,0.7,1.6
075 Spices,2019-06,2665.570000000001,0.075,12936.697000000002,739.253,1.8,-0.4,0.7,1.6
081 Animal feed,2019-06,106869.43500000003,15114.44,130294.10299999996,2360.759,1.8,-0.4,0.7,1.6
091 Margarine,2019-06,11560.023000000001,388.304,3190.316,8.083,1.8,-0.4,0.7,1.6
"098 Edible products & preparations, nes",2019-06,233801.29000000012,121451.42,292117.038,18262.092,1.8,-0.4,0.7,1.6
"111 Non-alcoholic beverages, nes",2019-06,6785.097000000001,1026.73,26875.951999999994,710.921,1.8,-0.4,0.7,1.6
112 Alcoholic beverages,2019-06,359877.199,152938.37,136590.17400000003,3022.684,1.8,-0.4,0.7,1.6
"121 Tobacco, unmanufactured",2019-06,,,,,1.8,-0.4,0.7,1.6
"122 Tobacco, manufactured",2019-06,14387.489,12.126,77869.98299999998,376.294,1.8,-0.4,0.7,1.6
"211 Hides & skins, raw (excl furskins)",2019-06,48932.01200000001,40490.86,778.538,468.138,1.8,-0.4,0.7,1.6
"212 Furskins, raw",2019-06,54.51,,55.44,,1.8,-0.4,0.7,1.6
"222 Oil-seeds & oleaginous fruits, soft",2019-06,12528.145999999999,5946.94,7380.309,992.291,1.8,-0.4,0.7,1.6
"223 Oil-seeds & oleaginous fruits, hard",2019-06,2949.0119999999997,,2626.289,1067.6,1.8,-0.4,0.7,1.6
231 Natural rubber,2019-06,58.229,,1370.4920000000002,,1.8,-0.4,0.7,1.6
232 Synthetic rubber,2019-06,1487.464,6.101,6693.344000000001,1009.602,1.8,-0.4,0.7,1.6
244 Cork,2019-06,2.872,,49.397999999999996,,1.8,-0.4,0.7,1.6
245 Fuel wood,2019-06,2806.501,2790.44,1040.1809999999998,11.663,1.8,-0.4,0.7,1.6
246 Wood in chips or particles,2019-06,134624.444,90619.48,281.721,,1.8,-0.4,0.7,1.6
"247 Wood, rough",2019-06,57069.46700000001,51738.19,45.489999999999995,15.038,1.8,-0.4,0.7,1.6
"248 Wood, simply worked",2019-06,9444.52,2378.3,50726.73899999999,8294.893,1.8,-0.4,0.7,1.6
251 Pulp & waste paper,2019-06,15820.533999999998,7497.67,17720.492,64.035,1.8,-0.4,0.7,1.6
261 Silk,2019-06,,,,,1.8,-0.4,0.7,1.6
263 Cotton,2019-06,233984.28700000004,167295.56,3.431,,1.8,-0.4,0.7,1.6
264 Jute,2019-06,,,,,1.8,-0.4,0.7,1.6
265 Other vegetable textile fibres,2019-06,,,574.222,,1.8,-0.4,0.7,1.6
266 Synthetic fibres,2019-06,16.106,,3499.063,187.281,1.8,-0.4,0.7,1.6
267 Other man-made fibres,2019-06,114.043,,382.221,,1.8,-0.4,0.7,1.6
268 Wool & other animal hair (incl tops),2019-06,221751.738,174841.83,965.827,205.816,1.8,-0.4,0.7,1.6
269 Worn clothing & rags,2019-06,6473.204000000001,,1074.6879999999999,71.632,1.8,-0.4,0.7,1.6
272 Crude fertilisers,2019-06,984.9089999999999,46.75,6900.911999999999,181.224,1.8,-0.4,0.7,1.6
"273 Stone, sand & gravel",2019-06,13070.125,533.169,2852.7140000000004,633.919,1.8,-0.4,0.7,1.6
274 Sulphur & iron pyrites,2019-06,277.69399999999996,197.498,11705.661,,1.8,-0.4,0.7,1.6
277 Natural abrasives,2019-06,10681.477,,483.754,245.842,1.8,-0.4,0.7,1.6
"278 Crude minerals, nes",2019-06,134313.499,119445.1,7464.496000000001,1550.231,1.8,-0.4,0.7,1.6
280 Confidential mineral ores,2019-06,516321.75,,,,1.8,-0.4,0.7,1.6
281 Iron ores & concentrates,2019-06,9699628.689999998,8056678.74,58.90899999999999,,1.8,-0.4,0.7,1.6
282 Ferrous waste & scrap,2019-06,117037.34400000001,15,139.109,,1.8,-0.4,0.7,1.6
283 Copper ores & concentrates,2019-06,506377.87299999996,146888.67,1591.92,,1.8,-0.4,0.7,1.6
284 Nickel ores & concentrates,2019-06,38829.816,32861.74,696.006,,1.8,-0.4,0.7,1.6
285 Aluminium ores & conc (incl alumina),2019-06,786252.85,120067.38,1630.4949999999997,437.017,1.8,-0.4,0.7,1.6
287 Other ores & concentrates,2019-06,331579.42,129933.44,19200.133,11.625,1.8,-0.4,0.7,1.6
288 Non-ferrous waste & scrap,2019-06,94027.63300000003,18286.16,1308.6600000000003,,1.8,-0.4,0.7,1.6
289 Precious metal ores & conc (excl gold),2019-06,205150.68299999996,19472.05,264.2,,1.8,-0.4,0.7,1.6
"291 Crude animal matter, nes",2019-06,34885.12700000001,7250.57,7336.975999999999,849.861,1.8,-0.4,0.7,1.6
"292 Crude vegetable matter, nes",2019-06,18878.584999999995,401.399,39907.17999999999,7813.749,1.8,-0.4,0.7,1.6
321 Coal,2019-06,6618847.269999999,1470548.64,152.527,85.521,1.8,-0.4,0.7,1.6
"322 Briquettes, lignite & peat",2019-06,316.023,,1157.4270000000001,,1.8,-0.4,0.7,1.6
325 Coke & semi-coke,2019-06,,,216.358,47.627,1.8,-0.4,0.7,1.6
333 Crude petroleum,2019-06,753127.6359999999,94758.17,1063007.511,,1.8,-0.4,0.7,1.6
334 Refined petroleum,2019-06,237669.11399999997,1801.14,1742716.0440000002,219112.127,1.8,-0.4,0.7,1.6
"335 Residual petroleum products, nes",2019-06,2514.3810000000008,,81343.013,19018.443,1.8,-0.4,0.7,1.6
342 Liquefied propane & butane,2019-06,122084.41,,55168.694,28.162,1.8,-0.4,0.7,1.6
343 Natural gas,2019-06,3454551.33,,0,,1.8,-0.4,0.7,1.6
344 Petroleum gases,2019-06,3615.567,299.906,529.309,128.528,1.8,-0.4,0.7,1.6
"345 Coal gas, water gas & similar gases",2019-06,,,,,1.8,-0.4,0.7,1.6
411 Animal oils & fats,2019-06,21871.141000000003,2727.38,5178.237,264.565,1.8,-0.4,0.7,1.6
"421 Fixed vegetable oils & fats, soft",2019-06,25964.96,227.921,36274.22,375.139,1.8,-0.4,0.7,1.6
"422 Fixed vegetable oils & fats, hard",2019-06,579.963,38.053,21793.583,1554.806,1.8,-0.4,0.7,1.6
"431 Other animal or veg oils, fats & waxes",2019-06,2672.246,,5969.154,656.105,1.8,-0.4,0.7,1.6
511 Hydrocarbons & derivatives,2019-06,156.40599999999998,,6858.685,1583.595,1.8,-0.4,0.7,1.6
"512 Alcohols, phenols & derivatives",2019-06,5564.967999999999,17.226,22047.339999999997,2588.73,1.8,-0.4,0.7,1.6
513 Carboxylic acids & derivatives,2019-06,5731.919,3.051,19576.175999999996,9534.98,1.8,-0.4,0.7,1.6
514 Nitrogen-function compounds,2019-06,1772.877,316.965,28867.148999999998,13225.954,1.8,-0.4,0.7,1.6
515 Organo-inorganic compounds,2019-06,481.511,154.191,48780.15300000001,18377.481,1.8,-0.4,0.7,1.6
516 Other organic chemicals,2019-06,1578.1250000000002,342.265,16430.951000000005,4500.674,1.8,-0.4,0.7,1.6
522 Inorganic chemical elements,2019-06,47038.25200000001,402.854,28928.630999999994,7628.974,1.8,-0.4,0.7,1.6
523 Salts of inorganic acids & metals,2019-06,8113.678,288.544,42109.47699999999,20459.727,1.8,-0.4,0.7,1.6
524 Other inorganic chemicals,2019-06,411.87399999999997,,6502.009,661.393,1.8,-0.4,0.7,1.6
525 Radioactive materials,2019-06,3283.215,116.644,5072.311,58.264,1.8,-0.4,0.7,1.6
531 Synthetic organic colouring,2019-06,958.907,16.84,7117.892000000002,2599.545,1.8,-0.4,0.7,1.6
532 Dyeing & tanning extracts,2019-06,1414.2259999999999,429.385,1332.965,83.015,1.8,-0.4,0.7,1.6
"533 Pigments, paints & varnishes",2019-06,101124.03300000004,15654.99,79698.527,7164.163,1.8,-0.4,0.7,1.6
541 Pharm products (excl medicaments),2019-06,293777.2150000001,44516.58,431834.2160000001,15740.571,1.8,-0.4,0.7,1.6
542 Medicaments (incl veterinary),2019-06,284416.23099999997,111245.6,604220.6350000001,6855.633,1.8,-0.4,0.7,1.6
551 Essential oils & perfumes,2019-06,12696.547,574.694,29062.429000000004,2682.109,1.8,-0.4,0.7,1.6
553 Perfumery & cosmetics (excl soap),2019-06,83275.81100000003,9898.7,190816.01299999998,12006.629,1.8,-0.4,0.7,1.6
554 Soap & cleansers,2019-06,22141.709,5739.88,66772.62900000002,12584.923,1.8,-0.4,0.7,1.6
562 Fertilisers (excl crude),2019-06,27903.374,,202668.84400000004,21317.16,1.8,-0.4,0.7,1.6
571 Primary ethylene polymers,2019-06,1263.488,209.509,44398.246,7.196,1.8,-0.4,0.7,1.6
572 Primary styrene polymers,2019-06,730.6859999999999,3.029,10093.738000000001,395.979,1.8,-0.4,0.7,1.6
573 Primary vinyl chloride polymers,2019-06,244.72299999999998,16.585,20222.866,121.052,1.8,-0.4,0.7,1.6
574 Primary polyacetals,2019-06,3808.557,590.209,30222.295,3802.306,1.8,-0.4,0.7,1.6
575 Other primary plastics,2019-06,21734.918999999998,1447.7,63605.031,11628.029,1.8,-0.4,0.7,1.6
579 Primary plastic waste & scrap,2019-06,4233.887000000001,,113.82700000000001,,1.8,-0.4,0.7,1.6
"581 Plastic tubes, pipes & hoses",2019-06,13943.815999999999,1181.35,32332.766000000003,11411.147,1.8,-0.4,0.7,1.6
"582 Plastic plates, sheets & film",2019-06,26943.296,1377.01,116729.09399999995,28885.727,1.8,-0.4,0.7,1.6
583 Plastic monofilament,2019-06,601.2130000000001,7.923,5089.482000000001,1929.607,1.8,-0.4,0.7,1.6
"591 Insecticides, herbicides, disinfectants",2019-06,7155.153000000001,696.659,50800.92699999999,7832.261,1.8,-0.4,0.7,1.6
"592 Starches, inulin & wheat gluten",2019-06,59666.33600000002,6001.93,29927.082000000006,3812.38,1.8,-0.4,0.7,1.6
593 Explosives & pyrotechnics,2019-06,1365.146,54.027,23172.055999999997,5966.206,1.8,-0.4,0.7,1.6
597 Prepared additives for mineral oils,2019-06,10113.981999999998,327.419,26700.654999999995,1728.454,1.8,-0.4,0.7,1.6
"598 Miscellaneous chemical products, nes",2019-06,21696.054999999997,149.832,102751.67500000002,10558.428,1.8,-0.4,0.7,1.6
599 Residual chemical wastes,2019-06,50.755,,18.468999999999998,,1.8,-0.4,0.7,1.6
611 Leather,2019-06,10055.674,3009.26,4216.374000000001,11.709,1.8,-0.4,0.7,1.6
612 Leather manufactures,2019-06,491.48300000000006,,5044.937,1894.994,1.8,-0.4,0.7,1.6
"613 Furskins, tanned or dressed",2019-06,13.771,,980.536,869.196,1.8,-0.4,0.7,1.6
621 Materials of rubber,2019-06,6833.433999999999,524.806,27635.722000000005,3857.146,1.8,-0.4,0.7,1.6
"625 Rubber tyres, treads & tubes",2019-06,9754.079999999998,168.182,229493.34200000006,65859.759,1.8,-0.4,0.7,1.6
"629 Rubber articles, nes",2019-06,12098.150000000001,279.878,53303.67899999999,14819.949,1.8,-0.4,0.7,1.6
633 Cork manufactures,2019-06,153.258,5.209,2780.7460000000005,153.128,1.8,-0.4,0.7,1.6
"634 Veneers, plywood & particle board",2019-06,3305.0349999999994,769.549,48406.73400000001,22040.932,1.8,-0.4,0.7,1.6
"635 Wood manufactures, nes",2019-06,4228.487000000002,199.446,63086.51799999999,22512.898,1.8,-0.4,0.7,1.6
641 Paper & paperboard,2019-06,92798.303,12740.01,128731.93800000001,23359.717,1.8,-0.4,0.7,1.6
"642 Paper & paperboard, cut to size",2019-06,8700.005999999998,190.675,122221.66399999999,61479.709,1.8,-0.4,0.7,1.6
651 Textile yarn,2019-06,1702.3049999999998,0.24,21193.004999999994,5735.769,1.8,-0.4,0.7,1.6
"652 Cotton fabrics, woven",2019-06,684.1560000000001,2.068,4815.751000000001,1741.139,1.8,-0.4,0.7,1.6
"653 Man-made fabrics, woven",2019-06,3148.758,258.186,12310.582,4574.06,1.8,-0.4,0.7,1.6
"654 Other textile fabrics, woven",2019-06,1082.8600000000001,43.251,4945.878,1548.803,1.8,-0.4,0.7,1.6
655 Knitted or crocheted fabrics,2019-06,440.1569999999999,26.369,7037.069000000003,2858.224,1.8,-0.4,0.7,1.6
"656 Tulles, lace & ribbons",2019-06,91.34700000000001,23.487,2971.3879999999995,1561.271,1.8,-0.4,0.7,1.6
657 Special yarns & fabrics,2019-06,9073.610999999999,1177.29,45791.28499999998,19064.42,1.8,-0.4,0.7,1.6
"658 Made-up textile articles, nes",2019-06,5664.473,269.512,140344.41500000004,87557.079,1.8,-0.4,0.7,1.6
659 Floor coverings,2019-06,4898.340999999999,177.541,48353.787,12409.721,1.8,-0.4,0.7,1.6
"661 Lime, cement & construction materials",2019-06,2699.176,83.816,57475.29499999999,14783.696,1.8,-0.4,0.7,1.6
662 Clay construction materials,2019-06,3114.0009999999993,15.5,39662.381,22320.69,1.8,-0.4,0.7,1.6
"663 Mineral manufactures, nes",2019-06,7103.008999999997,12.61,72141.01200000002,25736.069,1.8,-0.4,0.7,1.6
664 Glass,2019-06,4711.1089999999995,57.13,40595.056999999986,20423.392,1.8,-0.4,0.7,1.6
665 Glassware,2019-06,3706.6820000000007,670.772,29190.797000000002,13072.263,1.8,-0.4,0.7,1.6
666 Pottery,2019-06,1457.38,7.055,15146.318000000008,11468.538,1.8,-0.4,0.7,1.6
667 Pearls & gems,2019-06,60341.462999999996,28.684,62248.64599999999,576.657,1.8,-0.4,0.7,1.6
671 Pig-iron,2019-06,115.279,,7657.6129999999985,1742.727,1.8,-0.4,0.7,1.6
672 Iron or steel ingots,2019-06,23698.671,19.476,356.034,40.311,1.8,-0.4,0.7,1.6
673 Uncoated flat-rolled iron & steel,2019-06,62749.001,63.051,9644.256,196.3,1.8,-0.4,0.7,1.6
674 Coated flat-rolled iron & steel,2019-06,35475.251,,31434.017,4062.83,1.8,-0.4,0.7,1.6
675 Flat-rolled alloy steel,2019-06,4718.596,1425.91,20053.671,3991.794,1.8,-0.4,0.7,1.6
676 Iron & steel bars & rods,2019-06,10138.936000000003,32.57,43538.880000000005,6794.532,1.8,-0.4,0.7,1.6
677 Rails of iron or steel,2019-06,6907.5380000000005,107.285,35083.987,3001.08,1.8,-0.4,0.7,1.6
678 Wire of iron or steel,2019-06,1631.095,15.346,15134.034999999998,4071.948,1.8,-0.4,0.7,1.6
679 Tubes & pipes of iron or steel,2019-06,11849.059999999996,229.166,104996.07200000001,37112.066,1.8,-0.4,0.7,1.6
681 Silver & platinum,2019-06,33640.772000000004,4.421,17579.207000000002,3948.388,1.8,-0.4,0.7,1.6
682 Copper,2019-06,363310.608,175006.29,79350.92400000001,16407.508,1.8,-0.4,0.7,1.6
683 Nickel,2019-06,154065.255,1023.12,8308.628,333.716,1.8,-0.4,0.7,1.6
684 Aluminium,2019-06,385183.8649999999,2080.61,93948.459,42663.039,1.8,-0.4,0.7,1.6
685 Lead,2019-06,52800.149,,737.446,,1.8,-0.4,0.7,1.6
